Sr No.,Utterance,Speaker,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
723,"Ross-Ross, you have no idea what this means to me!",Rachel,positive,67,5,6,3,"00:08:30,259","00:08:32,594"
744,"...Dammit, hire the girl!  Okay, everybody ready?",Director,negative,68,0,1,6,"00:13:34,730","00:13:39,317"
756,Pretty nice?,Joey,neutral,70,1,4,2,"00:10:14,472","00:10:16,489"
759,"Y'know, I, I really don’t think we need a canoe.",Chandler,neutral,70,4,4,2,"00:10:24,332","00:10:35,717"
762,We’re not throwing it away! I built that canoe!,Peter,negative,70,7,4,2,"00:10:46,520","00:10:49,564"
763,Good for you!!,Joey,negative,70,8,4,2,"00:10:50,816","00:10:52,400"
770,What would you give to a kid if he wanted a ticket to play with?,Chandler,neutral,72,4,4,15,"00:14:47,845","00:14:50,847"
788,"Okay, good, so there you go. Go with Vince.",Joey,positive,74,0,3,23,"00:07:09,762","00:07:12,514"
795,Hi.,Ross,neutral,75,0,1,1,"00:19:28,917","00:19:30,251"
803,You think it looked amazing?,Rachel,negative,76,7,8,4,"00:19:56,153","00:19:59,280"
809,"Ah-ha, nowhere to run!",Ross,positive,78,0,6,17,"00:21:08,850","00:21:11,811"
831,He's planning your birthday party.,Joey,neutral,81,2,1,7,"0:11:40,950","0:11:41,092"
835,My surprise party!,Monica,positive,81,6,1,7,"0:11:47,381","0:11:48,773"
843,I was the last one to know when Chandler got bitten by the peacock at the zoo.,Phoebe,negative,81,14,1,7,"00:12:05,391","00:12:10,019"
848,Chandler! He’s your father.  he should be at the wedding.,Monica,negative,82,2,7,22,"00:03:17,155","00:03:20,032"
854,"Ooh, I think I wanna trade circles.",Phoebe,neutral,82,7,7,22,"00:03:35,965","00:03:38,342"
861,How ya doin’?,Joey,neutral,83,1,4,14,"00:15:50,199","00:15:51,616"
866,I’m not gonna marry Chandler!,Rachel,negative,84,2,4,20,"00:21:03,929","00:21:05,888"
869,I gotta go.,Joshua,neutral,84,5,4,20,"00:21:22,823","00:21:25,616"
875,"Well yeah, but then I remembered I started it and there was this pep rally and I was, I was on top of the pyramid but anyway—umm, what is this book about?",Rachel,neutral,85,4,5,9,"00:06:18,503","00:06:25,550"
891,What a neat idea. All your clothes match. I'm gonna do this.,Phoebe,positive,87,4,1,5,"00:22:03,113","00:22:06,949"
894,Excellent.,Joey,positive,87,7,1,5,"00:22:11,204","00:22:12,246"
898,Good for you Pheebs!,Rachel,positive,88,1,9,21,"00:20:52,793","00:20:55,878"
914,They rushed into this thing so fast it’s ridiculous!,Rachel,negative,89,12,4,20,"0:09:57,472","0:10:00,734"
917,"And somewhere along the way, one of them is gonna realise what they’ve done and they’re call the whole thing off.",Rachel,neutral,89,15,4,20,"00:10:03,811","00:10:08,148"
929,Oh no! No!! My hole!!,Joey,negative,93,5,4,1,"00:09:26,440","00:09:28,525"
946,And an assistant.,Rachel,neutral,94,14,4,9,"0:12:20,448","0:12:21,491"
953,Umm.  Umm. Umm. I don't think so.,Monica,positive,95,5,5,3,"0:04:21,386","0:04:22,304"
954,What?,Rachel,positive,95,6,5,3,"0:04:22,304","0:04:23,451"
961,Harder than it sounds. Isn't it?,Monica,neutral,95,13,5,3,"0:04:44,579","0:04:45,331"
971,Okay. Let’s bring it in.,Monica,neutral,97,0,3,9,"00:04:23,888","00:04:25,514"
983,"Technically we could have sex again. What do you think, bossy and domineering?!",Chandler,neutral,99,6,7,19,"00:05:38,379","00:05:46,136"
996,"Th-th-that's all it is, a third nipple.",Ross,neutral,100,0,3,23,"00:05:30,246","00:05:32,122"
1003,Just showing you my run-of-the-mill-slice-it-right-off third nipple.,Ross,neutral,100,5,3,23,"00:05:48,181","00:05:52,726"
1005,No?,Ross,negative,100,7,3,23,"00:05:54,000","00:05:55,729"
1008,"Wait a minute, hold it.  Johnson! Will you come in here a moment?",Dr. Rhodes,neutral,102,0,3,23,"00:06:01,152","00:06:08,116"
1010,"He's good with rear things, bring him in too.",Dr. Rhodes,neutral,102,2,3,23,"00:06:08,284","00:06:10,619"
1017,I love hiking!,Kristen,positive,103,6,8,4,"0:09:52,634","0:09:52,774"
1023,What?!,Janice,negative,105,1,6,23,"00:21:16,805","00:21:18,181"
1024,"Um uh…We’re-we’re just having this baby together but uh, uh that’s all.",Ross,neutral,106,0,8,23,"00:21:18,432","00:21:22,894"
1038,Dear Ms. Buffay.,Phoebe,neutral,107,7,1,3,"0:08:10,072","0:08:11,414"
1040,We have credited your account with five hundred dollars.,Phoebe,neutral,107,9,1,3,"0:08:10,072","0:08:16,287"
1048,Hey! Great advice on that Joey thing!,Rachel,positive,108,2,8,17,"00:11:48,916","00:11:51,876"
1056,"Ha-ha, it’s not my baby, ha-ha-ha!",Phoebe,negative,109,3,4,14,"00:14:25,030","00:14:27,740"
1093,‘Sup? ‘Sup dude?,Joey,neutral,111,12,7,1,"00:08:20,666","00:08:27,255"
1114,"Okay, but if he asks, I'm not going to lie.",Chandler,neutral,113,10,1,10,"00:08:19,957","00:08:23,001"
1132,"Wow, you ah, you really like all this space stuff, huh?",Ross,positive,116,3,3,10,"00:04:49,956","00:04:54,626"
1149,"Yeah, yeah, that's her.",Joey,neutral,119,2,5,17,"0:14:53,475","0:14:55,237"
1154,"What are you talking about?  She obviously lives on the second floor, seventh apartment from the left!",Monica,positive,119,7,5,17,"00:15:05,446","00:15:10,633"
1169,Okay.,Chandler,neutral,120,9,4,12,"0:13:26,848","0:13:27,325"
1171,Big fat goalie.,Joey,neutral,120,11,4,12,"00:13:39,819","00:13:41,778"
1174,Correct. Her actual favorite movie is...,Ross,neutral,120,14,4,12,"0:13:48,536","0:13:50,048"
1185,"You gotta help me out here, you gotta set me up, you gotta get me back in the game.",Monica,negative,122,1,3,18,"00:06:49,492","00:06:53,120"
1186,"Well, that shouldn’t be a problem. I mean I work in fashion and all I meet are eligible straight men.",Rachel,neutral,122,2,3,18,"00:06:53,287","00:06:57,374"
1202,Okay?,Ross,negative,123,2,9,17,"0:05:12,342","0:05:12,561"
1203,Depending    on the species I'd have to have a six foot long...,Ross,negative,123,3,9,17,"0:05:12,675","0:05:15,437"
1210,I don't have a page.,Chandler,neutral,123,9,9,17,"0:05:29,692","0:05:30,568"
1234,HEY!! Do you,Rachel,negative,126,1,4,19,"00:00:24,941","00:00:28,527"
1248,"No, no-n-n-n-no!!",Chandler,negative,127,2,4,20,"0:08:13,555","0:08:14,966"
1256,No. Ooohh,Monica,positive,128,5,8,14,"00:07:55,000","00:07:56,400"
1259,Okay.,Phoebe,neutral,128,8,8,14,"00:08:12,000","00:08:14,800"
1287,"All right, I guess this will be fine.",Joey,neutral,130,5,7,5,"00:06:26,386","00:06:27,886"
1303,"Sorry, Pheebs.",Monica,negative,131,1,3,14,"00:21:21,989","00:21:24,532"
1314,It’s for me.,Mark,neutral,132,9,3,15,"0:16:32,617","0:16:33,343"
1327,Hello.,Ross,neutral,136,0,8,12,"00:06:25,676","00:06:27,219"
1328,I’m sorry I’m a little late.,Ross,neutral,136,1,8,12,"00:06:31,391","00:06:33,058"
1341,That is how God intended it.,Ross,neutral,137,7,5,14,"00:14:03,425","00:14:06,052"
1344,"Wow, that feels so good to get off my chest!",Rachel,positive,138,2,5,12,"0:12:00,511","0:12:02,388"
1359,"I really thought you making a good point. I mean y'know, until you got cut off.",Phoebe,neutral,139,0,5,9,"00:21:37,504","00:21:41,674"
1360,"Yeah, what's up with that girl Monica?",A Female Student,neutral,139,1,5,9,"00:21:42,426","00:21:44,385"
1391,"Hey, I've been honing!",Chandler,negative,145,2,1,20,"00:05:29,162","00:05:30,871"
1393,"Oh, uh..",Chandler,negative,145,4,1,20,"0:05:33,166","0:05:33,959"
1399,"Man, we gotta do something about that guy.",Joey,negative,145,10,1,20,"00:05:57,148","00:05:58,815"
1410,Phoebe why don’t you just call her? You obviously want to.,Monica,neutral,146,2,3,14,"00:11:44,328","00:11:48,790"
1420,"Y'know what the saddest part is, when we were playing together, that was like the most fun I’ve ever had in like all my lives.",Phoebe,negative,146,12,3,14,"00:12:12,648","00:12:20,864"
1429,This is basically the first time she's gonna see your underwear—you want it to be dirty?,Chandler,negative,147,8,1,5,"00:07:42,420","00:07:46,548"
1440,"Well, let's just say the impressions you made in the butter left little to the imagination.",Chandler,negative,148,6,1,12,"00:07:50,094","00:07:57,100"
1453,"Well, let me ask you something, was Kip a better roommate than me?",Joey,negative,148,19,1,12,"00:08:24,921","00:08:28,798"
1464,"Yes, exactly!",Ross,positive,151,1,6,1,"00:12:21,365","00:12:22,657"
1465,And I will make everyone call me Mrs. Geller!,Rachel,positive,151,2,6,1,"00:12:22,867","00:12:26,661"
1471,Really?,Ross,negative,151,8,6,1,"00:13:01,573","00:13:03,573"
1478,I’m asking you to do me a favor.,Ross,neutral,151,15,6,1,"00:13:39,401","00:13:44,072"
1485,"My brother's going through that right now, he's such a mess. How did you get through it?",Monica,neutral,152,4,1,1,"00:10:36,427","00:10:40,680"
1489,You actually broke her watch?,Monica,positive,152,8,1,1,"00:10:50,775","00:10:52,651"
1492,"Barry, I'm sorry...",Rachel,negative,152,9,1,1,"0:10:53,277","0:10:54,737"
1501,What are you doing with the lamp?,Monica,positive,153,6,3,6,"00:09:38,160","00:09:40,078"
1511,What is going on?,Mark,negative,154,3,3,12,"0:14:16,248","0:14:17,920"
1524,"Oh that’s right. Well uh, would you be interested in seeing a Ukrainian film?",Ross,positive,155,7,8,5,"00:20:51,458","00:20:56,170"
1526,Great! Well umm,Ross,positive,155,9,8,5,"00:21:01,885","00:21:04,178"
1565,"Oh, I know and he’s soo sweet! Listen, he said he was going to call, so put him straight through.",Joanna,positive,159,7,3,20,"00:09:51,090","00:09:55,010"
1569,"Hi, sweetie!",Rachel,positive,160,1,3,14,"0:05:29,714","0:05:30,891"
1572,"Yeah, huh.",Ross,neutral,160,4,3,14,"00:05:34,542","00:05:35,959"
1573,I?ve got some bad news.,Rachel,negative,160,5,3,14,"0:05:37,295","0:05:38,922"
1578,"But work comes first!  Oh hey, but that?s sad about you though, what happened? Burn out? Burn all out, did ya?",Ross,positive,160,10,3,14,"00:05:48,473","00:05:57,689"
1592,Yeah! Richard!,Monica,negative,163,3,6,25,"0:06:55,373","0:06:57,269"
1596,You just told me that he hates marriage!,Monica,negative,163,7,6,25,"00:07:09,429","00:07:11,555"
1602,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,Ross,positive,164,2,1,1,"00:20:52,084","00:20:58,138"
1611,"Well, I just thought it’d make me feel good to do something nice for my friend.",Chandler,neutral,165,0,4,7,"00:14:12,852","00:14:16,531"
1643,Say you'll stay beside me,Joey,negative,167,8,3,14,"00:00:49,247","00:00:52,801"
1647,"Oh no, one of those ‘look for the hidden meaning’ songs.",Phoebe,neutral,167,12,3,14,"00:01:14,657","00:01:18,387"
1648,"Yes, hello.",Ross,neutral,168,0,5,24,"0:05:44,177","0:05:45,309"
1659,"Ross, I am a human doodle!!",Rachel,negative,168,11,5,24,"00:06:44,070","00:06:46,071"
1666,"No, it’s okay. Some-some kid asked me to pick it up for him, but I don’t",Ross,neutral,169,2,6,15,"00:03:48,853","00:03:53,315"
1687,Ohhh!!!!,Rachel,positive,171,4,1,7,"0:12:53,731","0:12:55,253"
1704,"Well, you promised me a fun road trip!",Phoebe,positive,173,2,6,1,"0:10:41,558","0:10:43,102"
1710,Sing!!,Phoebe,negative,173,8,6,1,"0:11:06,041","0:11:06,692"
1719,The musician right outside the restaurant...it's kind    of a mood-killer!,3rd Customer,negative,174,6,9,19,"00:06:16,168","00:06:19,463"
1743,"Ooh, look-look-look-look-look! I got Monica naked!",Joey,positive,176,10,1,8,"00:21:02,970","00:21:06,138"
1776,And in the meantime you better let him drive. Does he have a license?,Policeman,neutral,179,15,7,22,"00:13:52,706","00:13:54,666"
1815,"All right, I'm just gonna go on the date.",Rachel,neutral,182,13,5,10,"0:07:38,510","0:07:41,102"
1820,Phoebe!,Duncan,positive,183,1,2,4,"0:09:54,343","0:09:55,315"
1824,"Ahh, look at you, you look great.",Duncan,positive,183,5,2,4,"00:09:59,098","00:10:01,308"
1830,"I, I remember when you were just, like, King Friday in Mr. Roger's Ice is Nice.",Phoebe,neutral,183,11,2,4,"00:10:16,824","00:10:21,494"
1832,"Yeah, well, ya know, I'm kind of spooky that way. Wooo.",Phoebe,neutral,183,13,2,4,"00:10:25,041","00:10:28,376"
1839,"Hi Joey it's Jane Rogers, can't wait    for your party tonight.",Jane,positive,184,0,9,20,"00:05:46,751","00:05:49,462"
1849,Stupid Jane Rogers!!,Joey,negative,184,10,9,20,"00:06:17,281","00:06:19,575"
1862,"Oh, that's Ross's.",Chandler,neutral,185,1,1,24,"0:08:27,319","0:08:28,553"
1869,"Oh, it's so pretty. This must have cost him a fortune.",Phoebe,positive,185,8,1,24,"00:09:01,290","00:09:07,420"
1888,"Oh, that must be it.",Rachel,neutral,187,7,3,24,"00:08:44,190","00:08:45,941"
1901,"That's right, he almost could. Which is exactly how I got stuck there.",Joey,neutral,189,3,5,12,"00:09:22,353","00:09:27,315"
1902,Hey!,Phoebe,neutral,189,4,5,12,"0:09:28,985","0:09:29,957"
1913,Ross you left you scarf in… Hey you guys.,Janice,neutral,189,15,5,12,"00:10:11,861","00:10:22,454"
1917,"Yeah, we look great together.",Joey,positive,190,2,7,5,"00:21:32,165","00:21:35,751"
1941,"Oh, yeah!",Phoebe,positive,193,2,3,14,"00:13:55,167","00:13:58,169"
1945,"Okay, well if I was in this for the money, I’d be a millionaire by now, y'know.",Phoebe,neutral,193,6,3,14,"00:14:07,346","00:14:10,849"
1946,You just got to get out of that jingle head sweetie.,Phoebe,neutral,193,7,3,14,"00:14:12,601","00:14:14,978"
1958,Why? ‘Cause otherwise you’d go for it?,Monica,neutral,195,9,3,5,"00:19:06,061","00:19:08,271"
1962,"Ross, it took you ten years to finally admit you liked me.",Rachel,neutral,195,13,3,5,"00:19:17,447","00:19:21,242"
1971,Won't you dance around with me.,Ross,neutral,196,1,3,4,"00:22:04,406","00:22:06,866"
1997,I just got this really weird message from Ross. He said turn on,Joey,neutral,199,8,6,19,"00:21:04,096","00:21:08,432"
2007,I can’t believe it.  Can I tell you something? I’m a little mad at him now.,Ross,negative,200,4,6,23,"00:13:50,871","00:13:57,919"
2012,I like it!,Joey,positive,200,9,6,23,"00:14:16,772","00:14:18,356"
2013,Doorknob?,Elizabeth,neutral,201,0,6,19,"00:07:48,718","00:07:50,635"
2015,Oh good.,Elizabeth,positive,201,2,6,19,"00:10:08,941","00:10:10,650"
2017,"So, I’m sorry I just don’t think we should go away together yet.",Ross,negative,201,4,6,19,"00:10:27,084","00:10:30,128"
2031,I did it! I took care of the babies all by myself!,Phoebe,positive,202,8,6,5,"00:17:24,585","00:17:27,420"
2045,"Hey, when-when was it kicking? What happened?",Ross,positive,203,3,8,14,"00:06:42,080","00:06:43,840"
2050,Alright. Let's talk reality for a second.,Joanne,neutral,204,2,1,4,"0:07:40,293","0:07:43,380"
2054,"C'mon, this is us.",Joanne,neutral,204,6,1,4,"00:07:47,967","00:07:52,637"
2055,I'm not! This is what I'm doing now. I've got this job-,Rachel,neutral,204,7,1,4,"00:07:52,805","00:07:56,308"
2062,"We get off around midnight, why don't we pick you up then?",Fireman No. 3,neutral,205,0,1,14,"00:22:03,155","00:22:05,489"
2070,"No-no-no. I don't have a son named Jordie. We all agreed, my son's name is Jamie.",Ross,negative,206,1,1,23,"00:08:03,566","00:08:10,113"
2079,Why?,Ross,negative,206,10,1,23,"00:08:32,803","00:08:33,803"
2081,"No, you started it.",Ross,negative,206,12,1,23,"0:08:34,973","0:08:35,487"
2094,"Um, could you please tell Sergei that um, I was fascinated by what Boutros Boutros Gali said in the New York Times.",Phoebe,neutral,207,4,3,15,"00:14:34,123","00:14:42,088"
2095,You didn’t say Boutros Boutros Gali.,Phoebe,neutral,207,5,3,15,"0:14:45,676","0:14:47,698"
2101,"Eh, he said, thank you very much, he thinks you look very pretty tonight, your hair, golden like the sun.",Mischa,positive,207,11,3,15,"00:15:22,838","00:15:28,343"
2102,So you're a chef?,Mischa,neutral,207,12,3,15,"00:15:25,925","00:15:28,343"
2103,I’m also thinking about opening up my own restaurant.,Monica,positive,207,13,3,15,"00:15:29,845","00:15:32,221"
2108,What do you want me to do? Just sit here silently while you three have a conversation?,Monica,negative,207,18,3,15,"00:15:47,821","00:15:50,990"
2122,That was unbelievable!,Monica,negative,208,12,5,10,"0:16:11,887","0:16:13,306"
2171,"One, two, three, four!",Ross,neutral,213,1,7,15,"00:21:34,584","00:21:36,794"
2176,David who?,Monica,neutral,214,1,7,11,"00:08:47,610","00:08:49,402"
2177,"David the scientist guy, David that I was in love with, David who went to Russia and broke my heart David!",Phoebe,negative,214,2,7,11,"00:08:49,570","00:08:55,700"
2179,"Oh, you say someone’s name enough, they turn around.",Phoebe,neutral,214,4,7,11,"00:08:55,868","00:08:58,078"
2180,Phoebe?,David,positive,214,5,7,11,"00:09:01,082","00:09:03,708"
2183,Well… Yeah. You look great too. Did you get a haircut?,Phoebe,positive,214,8,7,11,"00:09:17,139","00:09:22,018"
2190,Whatever.,Joey,neutral,217,0,2,16,"00:16:03,879","00:16:04,963"
2203,"Yeah, when we’re in the audience he doesn’t talk to us, but he does wave.",Rachel,neutral,218,12,4,11,"00:12:57,067","00:13:00,069"
2208,"And it came out, ""Squatternut buash?""",Joey,positive,219,4,5,8,"00:06:54,080","00:06:57,499"
2214,"Oh, come on Monica, reliving past pain and getting depressed is what Thanksgiving is all about.",Chandler,neutral,219,9,5,8,"00:07:16,519","00:07:21,648"
2215,"Y'know, for me anyway.",Chandler,negative,219,10,5,8,"0:07:22,859","0:07:24,381"
2232,"Honey, you remember my boss Doug right?",Chandler,neutral,222,1,8,11,"0:03:42,138","0:03:44,307"
2237,No leg-chewing for us sir.,Monica,neutral,222,6,8,11,"00:03:56,653","00:04:01,365"
2266,"So uh, what’s your name?",Joey,neutral,224,0,7,22,"00:05:35,335","00:05:41,840"
2283,"So they ah, they all took off, it was pretty hard watching them go, y'know?",Ross,negative,225,9,3,17,"00:22:20,839","00:22:26,635"
2298,I'm sorry?,Tom,negative,226,12,5,7,"00:19:29,835","00:19:30,877"
2307,I think I need a drink.,Monica,neutral,226,20,5,7,"00:20:01,491","00:20:02,617"
2318,"Well, this has been fun.",Jill,neutral,229,0,1,7,"00:21:42,801","00:21:44,677"
2325,"Okay, that’s a fire. Oh yeah. Oh yeah.",Ross,neutral,231,0,3,15,"00:10:11,027","00:10:15,405"
2335,"Don’t yell at me okay, this is the most I’ve seen you all week.",Ross,negative,231,10,3,15,"00:10:42,183","00:10:45,644"
2338,Good bye!,Rachel,neutral,231,13,3,15,"0:10:52,993","0:10:54,450"
2344,Why won't I be married when I'm 40?,Monica,negative,232,3,1,23,"00:05:23,781","00:05:25,574"
2383,"1, 2, 3, 4, 5, 6, 7, 8",Monica and Ross,neutral,235,7,6,10,"00:21:36,586","00:21:41,090"
2432,"You and I, we're interfacing.",Ross,neutral,239,4,6,7,"00:21:33,583","00:21:36,085"
2436,"Oh, certainly. That's a combination of Bernoulli's principle and Newton's third law of motion.",David,neutral,240,1,9,23,"00:03:47,185","00:03:53,732"
2457,Hello Skidmark.,Julie,neutral,242,1,7,6,"00:14:03,551","00:14:06,010"
2464,"We couldn’t keep our eyes off each other all night and then every once and a while y’know, he’d kinda lean over and stroke my hair and touch my neck.",Phoebe,positive,245,1,7,18,"00:06:51,202","00:06:59,292"
2465,"Okay, stop it Phoebe, you’re getting me all tingly.",Monica,positive,245,2,7,18,"00:06:59,460","00:07:01,503"
2466,"All I could think of was y’know, ""Is he gonna kiss me? Is he gonna kiss me?""",Phoebe,positive,245,3,7,18,"00:07:03,131","00:07:06,216"
2471,"Oh, I haven’t had that feeling since I first started going out with Chandler.",Monica,positive,245,8,7,18,"00:07:21,399","00:07:26,570"
2484,You’re gonna have to tell me how you did that.,Rachel,neutral,246,4,8,8,"00:17:35,763","00:17:37,555"
2487,All right where’s that turkey!,Joey,neutral,247,0,8,9,"00:20:39,780","00:20:42,531"
2504,Or Friday with no two pizzas!,Joey,negative,249,5,8,9,"00:02:24,853","00:02:28,105"
2510,And this is what we do!,Joey,neutral,249,11,8,9,"0:02:42,371","0:02:45,895"
2526,All right.,Ross,neutral,251,4,3,21,"0:11:56,885","0:11:57,695"
2531,"Let me ask you some questions about, is it, uh, Marcel?",Dr. Baldhara,neutral,252,2,1,21,"00:14:18,691","00:14:21,317"
2550,Really helped speed the process along!,Chandler,positive,253,1,9,21,"00:17:35,888","00:17:38,014"
2552,You're not... gone?,Chandler,positive,253,3,9,21,"0:17:42,061","0:17:43,811"
2569,Phoebe come here,Monica,neutral,254,7,9,17,"00:10:07,303","00:10:08,512"
2575,"Well, you never told me how old you were.",Young Ethan,neutral,255,3,1,22,"00:12:48,684","00:12:51,352"
2590,You. Like you haven’t done enough.,Rachel,negative,256,2,8,22,"00:01:20,193","00:01:27,408"
2597,"Oh Phoebe, that’s a great story.",Rachel,neutral,256,9,8,22,"0:02:12,453","0:02:13,955"
2598,Can you tell it to me when you’re getting me some iced tea?,Rachel,negative,256,10,8,22,"0:02:13,955","0:02:16,500"
2617,"Umm, actually I was about to tell you that I was, I was going to get out of it, but hey, if we're just goofing around then uh, maybe I",Monica,neutral,258,5,5,3,"00:07:28,781","00:07:42,085"
2618,Fine! Maybe I will too!,Chandler,positive,258,6,5,3,"00:07:42,295","00:07:44,379"
